"死亡率—各年齡別-年 依 期間, 項目 與 性別 （最近更新日：2025-08-29， 單位：人/十萬人）",,,,,,,,,,,,,,,,
,嬰兒(0歲)—總數,,嬰兒(0歲)—新生兒(0-4週),,1-4歲,,5-14歲,,15-24歲,,25-44歲,,45-64歲,,65歲以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
2013,416.4,348.3,197.3,218.4,15,22.8,13.4,10.3,42.2,20,140.3,62,676,283.4,"4,504.00","2,877.60"
2014,442.8,315.7,286.8,224.7,32.1,20.6,15.9,8.9,42.4,16.5,143.4,61.3,679.6,289.4,"4,524.00","2,953.40"
2015,450.3,367.3,268,235.3,20,15.4,10.7,8.8,51.1,25.5,143.9,62.5,687.1,293.1,"4,269.20","2,827.10"
2016,464.3,363.9,294.4,230.5,21,16.5,12.3,19.6,49.1,26,146.7,64.5,708.8,278.7,"4,326.00","2,752.10"
2017,499.1,357.3,338.9,227.4,18.6,9.2,11.4,8.1,44.7,25.4,138.6,61,675.6,298.4,"4,033.00","2,719.60"
2018,498.8,359.5,303.3,258.8,19.3,14.2,10.9,10,45.8,18.1,128.8,67.9,677.7,275.3,"3,908.70","2,586.20"
2019,546.9,451.2,401.6,340.2,18.2,14.6,12.7,10,52.4,22.8,130.2,58.8,701.5,286.5,"3,788.30","2,530.80"
2020,389.4,396.2,259.6,291.1,29.6,18.3,7.5,8.1,59.2,27,118.5,55.2,643.6,281.4,"3,572.60","2,371.10"
2021,547.1,360.3,390.8,243,17.9,5.2,11,9.3,40,28.3,126.4,65.5,675,283.1,"3,812.50","2,543.50"
2022,454.2,428.6,299.8,272.8,18.8,25.6,12.8,6.9,45.2,28.8,125.7,63.8,730.7,298.3,"4,277.10","2,788.20"
2023,690.4,472.6,517.8,292.6,28.8,19.2,14,10,46.7,35.1,132,64.7,729.8,290.3,"3,891.00","2,550.10"
資料來源： 新北市性別圖像,,,,,,,,,,,,,,,,
名詞定義請參閱 （https://oas.bas.ntpc.gov.tw/BAS/pxweb/dialog/性別圖像指標定義.ods）,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
最近更新日：2025-08-29,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
資料來源： 新北市性別圖像,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
單位：人/十萬人,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
預告發布時間：,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
統計單元：,,,,,,,,,,,,,,,,
Ge0133,,,,,,,,,,,,,,,,
